tag,paper_found,paper_count,percent,avg_cit_count_found,avg_cit_count
itc01,17,24,0.7083333333333334,38.64705882352941,27.375
itc06,60,98,0.6122448979591837,4.316666666666666,2.642857142857143
itc07,81,155,0.5225806451612903,12.074074074074074,6.309677419354839
itc08,82,163,0.5030674846625767,6.402439024390244,3.2208588957055215
itc09,84,151,0.5562913907284768,4.107142857142857,2.2847682119205297
itc10,53,86,0.6162790697674418,15.90566037735849,9.80232558139535
itc11,130,197,0.6598984771573604,12.107692307692307,7.98984771573604
itc12,134,204,0.6568627450980392,11.902985074626866,7.818627450980392
itc13,153,192,0.796875,16.73856209150327,13.338541666666666
itc14,113,148,0.7635135135135135,21.82300884955752,16.66216216216216
itc15,114,137,0.8321167883211679,15.692982456140351,13.058394160583942
itc16,126,130,0.9692307692307692,19.595238095238095,18.99230769230769
itc17,94,99,0.9494949494949495,36.212765957446805,34.38383838383838
itc18,124,135,0.9185185185185185,86.40322580645162,79.36296296296297
itc19,195,255,0.7647058823529411,5.317948717948718,4.066666666666666
itc20,98,100,0.98,9.316326530612244,9.13
itc21,58,62,0.9354838709677419,13.224137931034482,12.370967741935484
itc22,33,41,0.8048780487804879,12.363636363636363,9.951219512195122
itc23,68,72,0.9444444444444444,25.720588235294116,24.291666666666668
itc24,47,52,0.9038461538461539,8.51063829787234,7.6923076923076925
itc25,40,40,1.0,9.675,9.675
itc26,53,55,0.9636363636363636,4.679245283018868,4.509090909090909
itc27,26,26,1.0,4.5,4.5
itc28,51,59,0.864406779661017,1.1568627450980393,1.0
itc29,23,45,0.5111111111111111,0.21739130434782608,0.1111111111111111
all,2057,2726,0.7545854732208364,17.631988332523093,13.304842259721203
